line,priority,category,current,action,target
1681,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1686,high,activity_heading,#### Task — Write a Diplomatic Error Notification (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1708,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1713,high,activity_heading,#### Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1724,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1738,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1754,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1759,high,activity_heading,#### Real-World Task (H2) ★,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1774,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1794,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1797,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1823,high,activity_heading,#### Problem Identification (A2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1837,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1839,low,bold_label_review,**Original Version** — Unstructured,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1843,low,bold_label_review,**Improved Version** — Layered and prioritised,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1853,high,process_rationale_callout,"> **Why this works:** The improved version reduces confusion by showing the reader which action comes first, which action depends on that first answer, and why the sequence matters. Priority and dependency are stated explicitly instead of being left for the reader to infer.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
1858,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1874,low,theory_subsection,#### 1. Sequencing and Prioritising Requests,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
1889,high,activity_heading,#### Practice A — Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1900,low,theory_subsection,#### 2. Paragraph-Level Transformation (C5) ★,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
1914,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
1927,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1942,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1945,high,activity_heading,#### Scenario Writing (D2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1954,high,transfer_reminder_callout,> **Transfer reminder:** Do not just add sequence markers mechanically. Use them to show the reader which action unlocks the next stage and why that order matters.,Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
1962,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1967,high,activity_heading,#### Task — Write a Multi-Part Request Message (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1989,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1994,high,activity_heading,#### Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2005,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2019,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2030,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2035,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2054,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2057,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2094,high,activity_heading,#### Real Document Analysis (A5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2100,low,bold_label_review,> **Office Circular — Document Verification Procedure (Revised)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2117,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2119,low,bold_label_review,**Original (Unclear and Disordered)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2123,low,bold_label_review,**Improved (Structured Procedure)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2125,low,bold_label_review,**Procedure for Reviewing Applicant Submissions**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2134,low,bold_label_review,**Compare the two versions. Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2141,high,process_rationale_callout,"> **Why this works:** The improved version reduces reader error because each step has one clear job, appears in a predictable order, and uses a consistent instruction style. The reader does not have to infer what happens first, what depends on a condition, or when the procedure is complete.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
2143,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2152,medium,bold_structural_label,**Discussion:** The improved version contains no exceptions. Why might a real procedure need at least one exception clause? What would you add here?,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2158,high,activity_heading,#### Sequencing / Ordering Task (C6),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2171,high,activity_heading,#### Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2183,low,bold_label_review,"**Useful verbs:** *conduct, examine, verify, process, ensure, determine, cross-check, update, confirm*",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2185,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
2197,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2209,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2212,high,activity_heading,#### Information Reorganisation (D5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2214,high,transfer_reminder_callout,"> **Transfer reminder:** When you reorganise paragraph information into a procedure, keep the action order, condition signals, and instruction style consistent. If two actions happen at different stages, separate them instead of burying them in one sentence.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
2227,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2232,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2253,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2258,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2267,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2282,high,activity_heading,#### Editing Workshop — Paragraph-Level (G2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2303,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2308,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2325,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2328,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2354,high,activity_heading,#### Prediction Task (A4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2360,medium,bold_structural_label,"> **Scenario:** Your office has updated the procedure for reviewing applicant submissions. The main change is that the initial review stage, which previously required sign-off from two officers, now requires only one. This change takes effect on 1 November. Staff in your office and in three partner",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2382,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2384,low,bold_label_review,**Original (Incomplete and Unclear)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2388,low,bold_label_review,**Improved (Clear Change Notification)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2392,low,bold_label_review,**Compare the two versions. Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2399,high,process_rationale_callout,"> **Why this works:** The improved notice balances three jobs at once: it states the change clearly, explains why the change has been introduced, and reassures the reader that support is available. That combination helps readers understand the change and act on it without unnecessary uncertainty.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
2401,high,activity_heading,#### Annotated Model (B4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2405,medium,bold_structural_label,**Annotations:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2413,medium,general_note_callout,"**Additional note:** Reassurance in a change notice should reduce uncertainty without becoming vague. In this model, the final sentence works because it offers support after the change and required action have already been stated clearly.",Convert to semantic note callout,`note` with subtype if useful. Do not classify as `why-this-works`.
2419,high,activity_heading,#### Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2431,high,activity_heading,#### Expansion Task (C7),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2440,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
2452,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2465,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2468,high,activity_heading,#### Template-Guided Writing (D3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2470,high,transfer_reminder_callout,"> **Transfer reminder:** Do not treat the template as five isolated boxes. Use it to preserve the logic of effective change communication: state the change, explain why it matters, guide the reader’s action, and reduce uncertainty through support.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
2477,low,bold_label_review,**Change Management Notice Template**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2501,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2506,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2527,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2532,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2541,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2556,high,activity_heading,#### Editing Workshop — Paragraph-Level (G2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2578,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2583,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2601,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2604,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2630,high,activity_heading,#### Problem Identification (A2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2647,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2649,low,bold_label_review,**Original (Vague and Overgeneralised)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2653,low,bold_label_review,"**Improved (Clear, Multi-Factor Explanation)**",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2657,low,bold_label_review,**Compare the two versions. Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2664,high,process_rationale_callout,"> **Why this works:** The improved version is easier for a non-specialist reader to process because it names the number of factors up front, separates them clearly, and supports each one with specific detail. The reader can understand both the problem and its effect without sorting through vague gen",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
2666,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2676,medium,bold_structural_label,**Discussion:** Why is it important to use neutral language when explaining a delay or problem to a partner office? What can go wrong when the tone becomes evaluative or accusatory?,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2682,high,activity_heading,#### Classification / Matching (C2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2688,medium,bold_structural_label,**Functions:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2694,low,bold_label_review,**Sentences:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2702,high,activity_heading,#### Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2714,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
2726,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2739,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2742,high,activity_heading,#### Scenario-Based Writing (D2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2762,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2767,high,activity_heading,#### Constrained Free Write (E2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2771,low,bold_label_review,**Constraint:** Every general statement must be followed immediately by a specific detail.,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2773,high,transfer_reminder_callout,> **Transfer reminder:** This constraint is not arbitrary. It forces you to apply the unit’s main principle: each broad explanation must be anchored in concrete evidence so the reader can understand the issue without guessing.,Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
2788,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2793,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2802,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2817,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2835,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2840,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2858,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
2861,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2887,high,activity_heading,#### Problem Identification (A2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2903,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2905,low,bold_label_review,**Original (Incomplete and Unstructured)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2909,low,bold_label_review,**Improved (Executive-Level Summary)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2911,low,bold_label_review,> **Meeting Summary — Guideline Revision Discussion (12 October)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2913,medium,bold_structural_label,"> **Overview:** Representatives from four offices met to review proposed guideline revisions. The discussion focused on three areas: terminology consistency, timeline alignment, and the applicant communication process.",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2915,low,bold_label_review,> **Key Points Discussed:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2920,low,bold_label_review,> **Decisions / Action Items:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2925,medium,bold_structural_label,> **Next Steps:** All offices are requested to share outstanding questions with the working group coordinator in advance of the next meeting.,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2927,low,bold_label_review,**Compare the two versions. Identify differences in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
2934,high,process_rationale_callout,"> **Why this works:** The improved version does not retell the meeting in time order. Instead, it groups information by managerial function: what the meeting was about, what mattered, what was decided, and what happens next. That makes the summary more useful for a reader who needs action and accoun",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
2936,high,activity_heading,#### Data Interpretation Input (B7),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2949,medium,bold_structural_label,"**Task:** Using the data in the table, write the *Decisions / Action Items* and *Next Steps* sections of an executive meeting summary. You do not need to invent what was discussed. Focus on what the table allows you to report about outcomes and outstanding items.",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
2959,high,activity_heading,#### Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2971,high,activity_heading,#### Paragraph-Level Transformation (C5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
2979,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
2991,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3004,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3007,high,activity_heading,#### Format Conversion (D7),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3009,high,transfer_reminder_callout,"> **Transfer reminder:** When you convert notes into an executive summary, group information by significance and action, not by the order in which points appeared during the meeting.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
3040,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3045,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3067,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3072,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3081,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3096,high,activity_heading,#### Editing Workshop — Paragraph-Level (G2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3117,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3122,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3141,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3144,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3183,high,activity_heading,#### Real Document Analysis (A5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3213,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3215,medium,minor_label_heading,##### Original (Unclear and Imprecise),Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
3219,medium,minor_label_heading,"##### Improved (Diplomatic, Structured External Inquiry)",Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
3223,low,bold_label_review,**Compare the two versions. Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3230,high,process_rationale_callout,"> **Why this works:** The improved inquiry helps an external reader because it provides enough background to identify the case, asks focused questions that can be answered directly, and signals why the information is needed on the writer’s side.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
3234,high,activity_heading,#### Structural Deconstruction (B3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3253,low,theory_subsection,#### 1. Providing Background Context,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
3257,high,writing_goal_label,**Writing goal:** Give the reader enough information to locate the issue and understand what you are asking about.,Convert to writing-goal component,`writing-goal`: production target before writing task.
3259,medium,example_label,**Example:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
3269,high,activity_heading,#### Classification / Matching (C2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3273,low,bold_label_review,**Expressions:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3283,medium,bold_structural_label,**Functions:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
3291,low,theory_subsection,"#### 2. Asking Clear, Answerable Questions",Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
3295,high,writing_goal_label,"**Writing goal:** Ask questions that are precise, specific, and easy for the recipient to answer without further clarification.",Convert to writing-goal component,`writing-goal`: production target before writing task.
3297,medium,example_label,**Example:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
3307,high,activity_heading,#### Phrase Bank Building (C8),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3311,medium,bold_structural_label,**Phrases:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
3325,low,bold_label_review,**Headings:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3333,low,bold_label_review,**Worked mini-inquiry:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3343,high,activity_heading,#### Rewrite the Original Inquiry (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3355,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3358,high,activity_heading,#### Two-Audience Version Task (D4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3360,high,transfer_reminder_callout,"> **Transfer reminder:** When you switch from an external to an internal audience, change the level of background explanation, not the core information. A familiar internal reader needs less orientation, but the task, status, and next-step logic should still remain clear.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
3373,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3378,high,activity_heading,#### Role-Based Writing Task (E3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3400,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
