line,priority,change_type,target_class,current_text,action,target_pattern,notes
1428,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1442,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Editing Exercise (G1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Editing Exercise — Improve Clarity and Flow (G1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1459,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
1460,high,normalize_placeholder_line,placeholder,{{PH-2: U05-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U05-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
1464,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1483,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1484,high,normalize_placeholder_line,placeholder,{{PH-4: U05-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U05-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
1486,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1517,medium,convert_or_review_blockquote_group,semantic-div,"> *""The timeline in your document is wrong. You didn't follow the updated instructions. Please correct it immediately so we can continue.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1520,medium,convert_or_review_blockquote_group,semantic-div,"> *""Thank you for sharing the updated document. Upon review, it appears that the timeline in Section 3 may differ from the revised instructions circulated on 12 July. For consistency, we would appreciate it if you could confirm whether the dates should be updated. Once clarified, we will be able to proceed with the remaining steps in the review.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1532,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1536,medium,convert_or_review_blockquote_group,semantic-div,"> *""The timeline in your document is wrong. You didn't follow the updated instructions. Please correct it immediately so we can continue.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1540,medium,convert_or_review_blockquote_group,semantic-div,"> *""Thank you for sharing the updated document. Upon review, it appears that the timeline in Section 3 may differ from the revised instructions circulated on 12 July. For consistency, we would appreciate it if you could confirm whether the dates should be updated. Once clarified, we will be able to proceed with the remaining steps in the review.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1548,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved version identifies the problem without accusing the reader. It separates the issue itself, the evidence for noticing it, the shared goal behind the request, and the action needed next, which helps keep the exchange cooperative.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
1554,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Annotated Model (B4) ★,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Annotated Model (B4) ★ — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1558,medium,convert_or_review_blockquote_group,semantic-div,"> *""Thank you for sharing the updated document.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1559,medium,convert_annotation_label,annotation,> **[Annotation: Opens by acknowledging the reader's action rather than immediately raising the problem — this reduces defensiveness.]**,Convert annotation to semantic annotation label/Div,"::: annotation
**Annotation:** ...
:::",Compact metadata/commentary label.
1561,medium,convert_or_review_blockquote_group,semantic-div,"> *""Upon review, it appears that the timeline in Section 3 may differ…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1562,medium,convert_annotation_label,annotation,"> **[Annotation: ""It appears that"" and ""may differ"" soften the identification of error — the problem is presented as a possible observation, not a confirmed accusation.]**",Convert annotation to semantic annotation label/Div,"::: annotation
**Annotation:** ...
:::",Compact metadata/commentary label.
1564,medium,convert_or_review_blockquote_group,semantic-div,"> *""…from the revised instructions circulated on 12 July.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1565,medium,convert_annotation_label,annotation,> **[Annotation: Specific reference to a date and a document type adds credibility and gives the reader a clear starting point for checking the issue.]**,Convert annotation to semantic annotation label/Div,"::: annotation
**Annotation:** ...
:::",Compact metadata/commentary label.
1567,medium,convert_or_review_blockquote_group,semantic-div,"> *""For consistency, we would appreciate it if you could confirm…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1568,medium,convert_annotation_label,annotation,"> **[Annotation: The request is framed around a shared professional goal (""consistency"") rather than a personal demand — this shifts the focus from fault to resolution.]**",Convert annotation to semantic annotation label/Div,"::: annotation
**Annotation:** ...
:::",Compact metadata/commentary label.
1570,medium,convert_or_review_blockquote_group,semantic-div,"> *""…that the timeline in Section 3 may differ from the revised instructions circulated on 12 July. For consistency, we would appreciate it if you could confirm…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1571,medium,convert_annotation_label,annotation,"> **[Annotation: The message keeps three functions separate: it identifies the issue first, then signals why the difference matters, and only then asks for action. This separation makes the request easier to process and keeps the tone non-blaming.]**",Convert annotation to semantic annotation label/Div,"::: annotation
**Annotation:** ...
:::",Compact metadata/commentary label.
1573,medium,convert_or_review_blockquote_group,semantic-div,"> *""Once clarified, we will be able to proceed…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1574,medium,convert_annotation_label,annotation,"> **[Annotation: The next-step statement shows that the writer is ready to act — it frames the request as a necessary step, not a complaint.]**",Convert annotation to semantic annotation label/Div,"::: annotation
**Annotation:** ...
:::",Compact metadata/commentary label.
1595,high,standardize_activity_heading,activity-heading,#### Practice A — Sentence Rewriting (C3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Practice a — Sentence Rewriting (C3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1607,medium,standardize_minor_heading_punctuation_capitalization,heading,#### 2. Explaining Impact without Assigning Blame,Standardize punctuation/capitalization,#### 2. Explaining Impact Without Assigning Blame,Keep as heading only if it is a true theory subsection or micro-label.
1632,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
1645,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Model Rewriting (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Model Rewriting — Improve Tone and Cohesion (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1660,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1661,high,normalize_placeholder_line,placeholder,{{PH-2: U06-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U06-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
1673,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Keep these functions separate in your draft: identify the issue, explain its impact, request the correction, and state the next step. When these functions are combined too heavily, the message often starts to sound blaming or unclear.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
1681,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1682,high,normalize_placeholder_line,placeholder,{{PH-3: U06-D2-guided-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U06-D2-guided-draft}}
:::",Preserve the placeholder token exactly.
1708,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1709,high,normalize_placeholder_line,placeholder,{{PH-4: U06-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U06-E1-freer-write}}
:::",Preserve the placeholder token exactly.
1713,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Peer Review — Activity Focus (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1724,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1738,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Editing Exercise (G1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Editing Exercise — Improve Clarity and Flow (G1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1754,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
1755,high,normalize_placeholder_line,placeholder,{{PH-2: U06-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U06-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
1759,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Real-World Task (H2) ★,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Real-World Task (H2) ★ — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1774,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1794,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1795,high,normalize_placeholder_line,placeholder,{{PH-4: U06-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U06-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
1797,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1823,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Problem Identification (A2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Problem Identification — Activity Focus (A2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1837,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1841,medium,convert_or_review_blockquote_group,semantic-div,"> *""Please check the translation, send the corrected file, and confirm the date. We need everything as soon as possible.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1845,medium,convert_or_review_blockquote_group,semantic-div,"> *""To proceed with the review, we would appreciate your support with the following points. First, could you confirm whether the date in Section 2.1 should align with the revision issued on 3 August? Once confirmed, we would be grateful if you could review the attached translation for consistency. Finally, if an updated version of the file is available, kindly share it at your convenience. These steps will allow us to complete the review accurately.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1853,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved version reduces confusion by showing the reader which action comes first, which action depends on that first answer, and why the sequence matters. Priority and dependency are stated explicitly instead of being left for the reader to infer.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
1858,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Noticing Task (B2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Noticing Task — Identify the Writing Pattern (B2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1889,high,standardize_activity_heading,activity-heading,#### Practice A — Sentence Rewriting (C3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Practice a — Sentence Rewriting (C3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1900,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 2. Paragraph-Level Transformation (C5) ★,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 2. Paragraph-Level Transformation (C5) ★ — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1904,medium,convert_or_review_blockquote_group,semantic-div,"> *""We need to sort out a few things before we can move forward. The terminology in the document needs to be checked. Also, the timeline should be confirmed — we're not sure which date is correct. The translated version also needs a review, but we can't start that until we know which terms are being used. Once everything is clear, we can update the file and proceed.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
1914,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
1927,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Model Rewriting (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Model Rewriting — Improve Tone and Cohesion (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
1942,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1943,high,normalize_placeholder_line,placeholder,{{PH-2: U07-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U07-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
1954,high,convert_blockquote_to_learn_div,learn-transfer,> **Transfer reminder:** Do not just add sequence markers mechanically. Use them to show the reader which action unlocks the next stage and why that order matters.,Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
1962,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1963,high,normalize_placeholder_line,placeholder,{{PH-3: U07-D2-guided-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U07-D2-guided-draft}}
:::",Preserve the placeholder token exactly.
1989,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
1990,high,normalize_placeholder_line,placeholder,{{PH-4: U07-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U07-E1-freer-write}}
:::",Preserve the placeholder token exactly.
1994,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Peer Review — Activity Focus (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2005,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2019,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Editing Exercise (G1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Editing Exercise — Improve Clarity and Flow (G1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2023,medium,convert_or_review_blockquote_group,semantic-div,"> *""We need you to correct the dates, confirm which version is valid, and fix the terminology. Then we can proceed.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
2030,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
2031,high,normalize_placeholder_line,placeholder,{{PH-2: U07-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U07-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
2035,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2054,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2055,high,normalize_placeholder_line,placeholder,{{PH-4: U07-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U07-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
2057,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2094,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Real Document Analysis (A5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Real Document Analysis — Activity Focus (A5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2100,medium,review_blockquote_label,learn-note,> **Office Circular — Document Verification Procedure (Revised)**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
2117,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2121,medium,convert_or_review_blockquote_group,semantic-div,"> *""Review the application and update the record. If the applicant submitted a revision, confirm the changes. Send notification. Check if the timeline should be updated. Follow the guidelines.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
2141,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved version reduces reader error because each step has one clear job, appears in a predictable order, and uses a consistent instruction style. The reader does not have to infer what happens first, what depends on a condition, or when the procedure is complete.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
2143,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Noticing Task (B2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Noticing Task — Identify the Writing Pattern (B2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2152,medium,normalize_bold_structural_label,semantic-label,**Discussion:** The improved version contains no exceptions. Why might a real procedure need at least one exception clause? What would you add here?,Convert bold structural label to compact label style or Div if block-level,**Discussion:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
2158,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sequencing / Ordering Task (C6),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sequencing / Ordering Task — Activity Focus (C6),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2171,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sentence Rewriting (C3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sentence Rewriting — Activity Focus (C3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2185,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
2197,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Model Rewriting (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Model Rewriting — Improve Tone and Cohesion (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2209,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2210,high,normalize_placeholder_line,placeholder,{{PH-2: U08-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U08-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
2212,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Information Reorganisation (D5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Information Reorganisation — Activity Focus (D5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2214,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** When you reorganise paragraph information into a procedure, keep the action order, condition signals, and instruction style consistent. If two actions happen at different stages, separate them instead of burying them in one sentence.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
2220,medium,convert_or_review_blockquote_group,semantic-div,"> *""Once the form has been reviewed and any outstanding queries resolved, the file can proceed to the approvals stage. Before that, however, staff must check that all supporting documents have been received. The form itself should be reviewed within three working days of receipt. Any queries should be sent to the originating office in writing. After approval, a confirmation is sent to the applicant and the record is closed.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
2227,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2228,high,normalize_placeholder_line,placeholder,{{PH-3: U08-D5-reorganised-version}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U08-D5-reorganised-version}}
:::",Preserve the placeholder token exactly.
2232,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2253,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2254,high,normalize_placeholder_line,placeholder,{{PH-4: U08-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U08-E1-freer-write}}
:::",Preserve the placeholder token exactly.
2258,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2267,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2286,medium,convert_or_review_blockquote_group,semantic-div,"> *""First of all, check the document carefully and if something is not right, maybe ask a colleague to have a look too. After you've done that, send whatever reply seems right to the applicant. You also need to update the record at some stage — probably before or after the reply, depending on the situation. Make sure guidelines are being followed somehow. If there are problems, deal with them.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
2303,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
2304,high,normalize_placeholder_line,placeholder,{{PH-3: U08-G2-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U08-G2-editing-rewrite}}
:::",Preserve the placeholder token exactly.
2308,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2325,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2326,high,normalize_placeholder_line,placeholder,{{PH-4: U08-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U08-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
2328,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2354,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Prediction Task (A4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Prediction Task — Activity Focus (A4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2360,medium,review_blockquote_label,learn-note,"> **Scenario:** Your office has updated the procedure for reviewing applicant submissions. The main change is that the initial review stage, which previously required sign-off from two officers, now requires only one. This change takes effect on 1 November. Staff in your office and in three partner offices need to be informed.",Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
2382,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2386,medium,convert_or_review_blockquote_group,semantic-div,"> *""The instructions have changed. Make sure to follow the new steps and use the updated form. The previous version is no longer valid.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
