unit,title,line,issue,previous_line,item
17,Editing for Clarity,7505,missing_terminal_punctuation,Clarity refers to how easily the reader can understand your message. Clear writing:,"Uses simple, direct language"
17,Editing for Clarity,7523,missing_terminal_punctuation,Identify the problems.,"""It looks like maybe there is something wrong with the form in some places."""
17,Editing for Clarity,7571,starts_lowercase; missing_terminal_punctuation,"Clarity editing is not only ""make it shorter."" It is also:",remove vague words
17,Editing for Clarity,7639,missing_terminal_punctuation,"Clear writing follows a **logical order**, often:",Background ->Main point ->Detail
17,Editing for Clarity,7655,starts_lowercase; missing_terminal_punctuation,"Rewrite the sentences in a clear, logical order. Look for a simple movement:",background or first action
17,Editing for Clarity,7786,starts_lowercase; missing_terminal_punctuation,Write:,the weak version
18,Editing for Tone,7853,starts_lowercase,"By the end of this unit, I will be able to:","identify tone problems such as directness, blame, or emotional language."
18,Editing for Tone,7854,starts_lowercase,"- identify tone problems such as directness, blame, or emotional language.",soften a message without making it unclear.
18,Editing for Tone,7855,starts_lowercase,- soften a message without making it unclear.,rewrite a short email in a more professional tone.
18,Editing for Tone,7856,starts_lowercase,- rewrite a short email in a more professional tone.,revise a paragraph so it sounds more neutral and appropriate.
18,Editing for Tone,7866,missing_terminal_punctuation,A professional tone is:,Polite
18,Editing for Tone,7873,missing_terminal_punctuation,A poor tone may be:,Too direct or abrupt
18,Editing for Tone,7890,missing_terminal_punctuation,Identify what makes the tone inappropriate.,"""You didn't do this correctly."""
18,Editing for Tone,7936,starts_lowercase; missing_terminal_punctuation,The stronger version works because it:,removes blame
18,Editing for Tone,7975,starts_lowercase; missing_terminal_punctuation,Try to soften the message by changing:,blame to neutral description
18,Editing for Tone,8032,starts_lowercase; missing_terminal_punctuation,"When revising for tone, try this order:",remove blame
18,Editing for Tone,8166,starts_lowercase; missing_terminal_punctuation,Take one message from this unit and write:,a version for a colleague
18,Editing for Tone,8171,starts_lowercase; missing_terminal_punctuation,Then explain:,what changed
18,Editing for Tone,8291,missing_terminal_punctuation,Take one earlier draft from Modules 1-4 and revise it three times.,Version 1: accuracy focus
18,Editing for Tone,8297,starts_lowercase; missing_terminal_punctuation,"After revising, write a short reflection:",which pass changed the text most
18,Editing for Tone,8322,starts_lowercase,Module 5 is not only about finding errors. It is about deciding what kind of revision the text needs first. Use this order when you edit:,accuracy:
18,Editing for Tone,8343,starts_lowercase; missing_terminal_punctuation,- [ ] Accuracy pass:,check whether each idea is factually and grammatically controlled
18,Editing for Tone,8345,starts_lowercase; missing_terminal_punctuation,- [ ] Clarity pass:,"separate the problem, effect, and action"
18,Editing for Tone,8347,starts_lowercase; missing_terminal_punctuation,- [ ] Tone pass:,remove blame and create a cooperative next step
18,Editing for Tone,8379,starts_lowercase; missing_terminal_punctuation,Take one draft from Modules 1-4 and one draft from Module 6 if you already have one. Write a short editing note for each draft:,the biggest accuracy problem
18,Editing for Tone,8412,starts_lowercase; missing_terminal_punctuation,Use the board on one earlier draft from Modules 1-4 and explain:,which problem you fixed first
18,Editing for Tone,8426,starts_lowercase; missing_terminal_punctuation,"Before you submit any later task, write a short memo:",one accuracy point to verify
18,Editing for Tone,8458,starts_lowercase; missing_terminal_punctuation,"By the end of this module, you should be able to:",produce connected documents for different readers from one scenario
18,Editing for Tone,8465,starts_lowercase; missing_terminal_punctuation,"When you use this module, do not skip the support layer:",compare the example versions before you draft
19,Integrated Task 1: Combined Email + Internal Explanation,8477,starts_lowercase,"By the end of this unit, I will be able to:",identify what different audiences need to know about the same situation.
19,Integrated Task 1: Combined Email + Internal Explanation,8478,starts_lowercase,- identify what different audiences need to know about the same situation.,write a polite external email about an issue.
19,Integrated Task 1: Combined Email + Internal Explanation,8479,starts_lowercase,- write a polite external email about an issue.,write a short internal explanation of the same issue.
19,Integrated Task 1: Combined Email + Internal Explanation,8480,starts_lowercase,- write a short internal explanation of the same issue.,adjust tone and detail when the audience changes.
19,Integrated Task 1: Combined Email + Internal Explanation,8535,starts_lowercase; missing_terminal_punctuation,The outside reader needs:,a polite clear question
19,Integrated Task 1: Combined Email + Internal Explanation,8540,starts_lowercase; missing_terminal_punctuation,The internal reader needs:,a factual explanation
19,Integrated Task 1: Combined Email + Internal Explanation,8545,starts_lowercase; missing_terminal_punctuation,Good multi-document writing keeps the same facts but changes:,tone
19,Integrated Task 1: Combined Email + Internal Explanation,8723,missing_terminal_punctuation,Choose one scenario and write **both**:,A short external inquiry email (4-5 sentences)
19,Integrated Task 1: Combined Email + Internal Explanation,8797,missing_terminal_punctuation,Write:,One external-style email (6-8 sentences)
19,Integrated Task 1: Combined Email + Internal Explanation,8802,missing_terminal_punctuation,Each should:,Use accurate grammar
20,Integrated Task 2: Revision + Notice Writing,8857,starts_lowercase,"By the end of this unit, I will be able to:",write a polite revision or correction message to another office.
20,Integrated Task 2: Revision + Notice Writing,8858,starts_lowercase,- write a polite revision or correction message to another office.,write a short internal notice about the same correction.
20,Integrated Task 2: Revision + Notice Writing,8859,starts_lowercase,- write a short internal notice about the same correction.,explain a corrected detail clearly and concisely.
20,Integrated Task 2: Revision + Notice Writing,8860,starts_lowercase,- explain a corrected detail clearly and concisely.,adapt the same information for external and internal audiences.
20,Integrated Task 2: Revision + Notice Writing,8882,starts_lowercase; missing_terminal_punctuation,Document-control check:,shared fact: `Document Verification - Stage 2` is `27 May`
20,Integrated Task 2: Revision + Notice Writing,8926,starts_lowercase; missing_terminal_punctuation,Revision writing becomes trustworthy when:,the corrected detail stays the same everywhere
20,Integrated Task 2: Revision + Notice Writing,9094,missing_terminal_punctuation,Choose one and write both texts:,A revision/clarification message (4-5 sentences)
20,Integrated Task 2: Revision + Notice Writing,9148,starts_lowercase; missing_terminal_punctuation,Write a short `3-4` line correction log for one scenario in this unit:,original incorrect detail
20,Integrated Task 2: Revision + Notice Writing,9168,missing_terminal_punctuation,Write:,One external-style revision message (6-8 sentences)
20,Integrated Task 2: Revision + Notice Writing,9173,missing_terminal_punctuation,each using:,Accurate grammar
21,Writing for Consistency Across a Team,9231,starts_lowercase,"By the end of this unit, I will be able to:",identify inconsistency across related team messages.
21,Writing for Consistency Across a Team,9232,starts_lowercase,- identify inconsistency across related team messages.,rewrite short messages so they follow a shared team standard.
21,Writing for Consistency Across a Team,9233,starts_lowercase,- rewrite short messages so they follow a shared team standard.,explain simple team writing rules.
21,Writing for Consistency Across a Team,9234,starts_lowercase,- explain simple team writing rules.,revise a set of related messages into one professional style.
21,Writing for Consistency Across a Team,9243,missing_terminal_punctuation,"When multiple team members write emails and notices, inconsistency can cause:",Confusion for external offices
21,Writing for Consistency Across a Team,9250,missing_terminal_punctuation,Clear team standards help:,Maintain a professional image
21,Writing for Consistency Across a Team,9304,starts_lowercase; missing_terminal_punctuation,"If one team sends very different styles of email, readers may feel:",unsure which message is correct
21,Writing for Consistency Across a Team,9310,starts_lowercase; missing_terminal_punctuation,Consistency helps because the reader can recognize the team's style quickly:,standard subject line
21,Writing for Consistency Across a Team,9336,missing_terminal_punctuation,- Please let us know if you need further information.,"Kind regards,"
21,Writing for Consistency Across a Team,9389,starts_lowercase; missing_terminal_punctuation,"Rewrite the email with correct formatting, tone, and clarity. Use one shared team pattern:",clear subject line
21,Writing for Consistency Across a Team,9399,missing_terminal_punctuation,Mini standard:,Subject: clear topic
21,Writing for Consistency Across a Team,9473,starts_lowercase; missing_terminal_punctuation,"For each pair, make sure both messages show:",the same level of formality
21,Writing for Consistency Across a Team,9480,starts_lowercase; missing_terminal_punctuation,Use this quick rewrite plan:,decide the shared opening pattern
21,Writing for Consistency Across a Team,9528,starts_lowercase; missing_terminal_punctuation,Write:,the rule in one short sentence
21,Writing for Consistency Across a Team,9535,missing_terminal_punctuation,- Rule: Put the purpose sentence in line 1 or line 2.,"Use: ""We are writing to confirm the updated schedule."""
22,Multi-Document Communication Task,9617,starts_lowercase,"By the end of this unit, I will be able to:",decide what different readers need from the same situation.
22,Multi-Document Communication Task,9618,starts_lowercase,- decide what different readers need from the same situation.,"write an applicant reply, a colleague explanation, and an internal notice about one issue."
22,Multi-Document Communication Task,9619,starts_lowercase,"- write an applicant reply, a colleague explanation, and an internal notice about one issue.","adapt tone, detail, and structure across three related documents."
22,Multi-Document Communication Task,9620,starts_lowercase,"- adapt tone, detail, and structure across three related documents.",keep multiple related messages clear and consistent.
22,Multi-Document Communication Task,9676,starts_lowercase; missing_terminal_punctuation,That means you must control:,what stays the same
22,Multi-Document Communication Task,9806,starts_lowercase; missing_terminal_punctuation,Think about what the wider team needs most:,the corrected fact
22,Multi-Document Communication Task,9812,starts_lowercase; missing_terminal_punctuation,You can use this pattern:,topic or heading
22,Multi-Document Communication Task,9818,missing_terminal_punctuation,Mini notice example:,Schedule Correction: Stage 2 Review Date
22,Multi-Document Communication Task,9860,starts_lowercase; missing_terminal_punctuation,"In a three-document task, the biggest risk is not grammar. It is overlap. One message starts doing another message's job. Use this quick test:","if a sentence helps only the applicant, keep it out of the team notice"
22,Multi-Document Communication Task,9872,missing_terminal_punctuation,Choose **one** of the scenarios below and write all three documents:,Applicant reply (5-6 sentences)
22,Multi-Document Communication Task,9946,starts_lowercase; missing_terminal_punctuation,Safer final check:,keep the shared fact language stable
22,Multi-Document Communication Task,9965,missing_terminal_punctuation,"From the original scenario (missing applicant document), write a polished communication set:",**Applicant email (8-10 sentences)**
22,Multi-Document Communication Task,9971,missing_terminal_punctuation,All three must:,Use accurate grammar
23,Portfolio Writing & Final Revision,10028,starts_lowercase,"By the end of this unit, I will be able to:",revise earlier writing to a higher standard.
23,Portfolio Writing & Final Revision,10029,starts_lowercase,- revise earlier writing to a higher standard.,choose portfolio pieces that show different administrative writing skills.
23,Portfolio Writing & Final Revision,10030,starts_lowercase,- choose portfolio pieces that show different administrative writing skills.,produce a new final document that matches the portfolio standard.
23,Portfolio Writing & Final Revision,10031,starts_lowercase,- produce a new final document that matches the portfolio standard.,"review my writing for accuracy, clarity, tone, coherence, and conciseness."
23,Portfolio Writing & Final Revision,10042,missing_terminal_punctuation,"In this unit, your portfolio will contain:",**One external-style email** (revised and final)
23,Portfolio Writing & Final Revision,10049,missing_terminal_punctuation,Your final submission should show:,Clear structure
23,Portfolio Writing & Final Revision,10065,missing_terminal_punctuation,Choose **three drafts** you want to improve:,One email (internal or external)
23,Portfolio Writing & Final Revision,10083,starts_lowercase; missing_terminal_punctuation,It should show that you can:,notice problems
23,Portfolio Writing & Final Revision,10159,starts_lowercase; missing_terminal_punctuation,"Before revising, mark:",one sentence that is too vague
23,Portfolio Writing & Final Revision,10167,starts_lowercase; missing_terminal_punctuation,Revision focus:,make the main point easier to find
23,Portfolio Writing & Final Revision,10187,starts_lowercase; missing_terminal_punctuation,Rewrite it clearly and professionally. Choose one short text with a clear internal or external audience. Use this quick editing routine:,identify the audience
23,Portfolio Writing & Final Revision,10255,missing_terminal_punctuation,Choose ONE:,"A clear update email to a colleague, supervisor, or applicant (6-8 sentences)"
23,Portfolio Writing & Final Revision,10277,missing_terminal_punctuation,Your final portfolio should contain **four items**:,One external-style email (revised)
23,Portfolio Writing & Final Revision,10284,missing_terminal_punctuation,Each item must:,Use accurate grammar
23,Portfolio Writing & Final Revision,10291,starts_lowercase; missing_terminal_punctuation,"Before you submit, confirm that the four items show a useful range of skills:",at least one external-facing document
23,Portfolio Writing & Final Revision,10305,starts_lowercase; missing_terminal_punctuation,Portfolio quality reminder:,"the set should show range, not repetition"
23,Portfolio Writing & Final Revision,10378,missing_terminal_punctuation,Use this rubric to check your final portfolio. Mark each criterion as:,`Ready`
23,Portfolio Writing & Final Revision,10562,starts_lowercase; missing_terminal_punctuation,"After writing, complete these reflection prompts:",what changed most across the audiences
23,Portfolio Writing & Final Revision,10596,starts_lowercase; missing_terminal_punctuation,Use the grid to stop three common problems:,giving the same message to every reader
23,Portfolio Writing & Final Revision,10614,starts_lowercase; missing_terminal_punctuation,1. External message:,thank the reader
23,Portfolio Writing & Final Revision,10619,starts_lowercase; missing_terminal_punctuation,2. Internal message:,explain the same fact neutrally
23,Portfolio Writing & Final Revision,10623,starts_lowercase; missing_terminal_punctuation,3. Revision note:,explain why the two texts cannot stay the same
23,Portfolio Writing & Final Revision,10629,missing_terminal_punctuation,Why this lab matters:,Unit 19 teaches the two-document split
23,Portfolio Writing & Final Revision,10724,starts_lowercase; missing_terminal_punctuation,"- If the set feels repetitive, keep the shared fact but change the reader-facing function:",request
23,Portfolio Writing & Final Revision,10762,starts_lowercase,Now rewrite the pack so each document starts with the reader's most urgent need:,external message:
23,Portfolio Writing & Final Revision,10763,starts_lowercase; missing_terminal_punctuation,- external message:,issue
23,Portfolio Writing & Final Revision,10767,starts_lowercase; missing_terminal_punctuation,- internal explanation:,event
23,Portfolio Writing & Final Revision,10771,starts_lowercase; missing_terminal_punctuation,- internal notice:,corrected fact
23,Portfolio Writing & Final Revision,10775,starts_lowercase; missing_terminal_punctuation,- revision note:,what changed
23,Portfolio Writing & Final Revision,10797,starts_lowercase; missing_terminal_punctuation,- Weak pack:,"every document repeats ""There is a problem with the file"" and changes only the greeting"
23,Portfolio Writing & Final Revision,10799,starts_lowercase; missing_terminal_punctuation,- Stronger pack:,the external message requests the corrected file
23,Portfolio Writing & Final Revision,10821,missing_terminal_punctuation,"Before final submission, move one portfolio item through this ladder:",Draft stage
