paragraph_type,forms,total,line,form,kind,text
title:opening / context,bold-only=1,1,1120,bold-only,bold-title,**Opening / Context**
title:original text,bold-only=1,1,54,bold-only,bold-title,**Original Text**
title:original text - assumes too much knowledge,bold-only=1,1,4422,bold-only,bold-title,**Original Text — Assumes Too Much Knowledge**
title:original text - disjointed,bold-only=1,1,747,bold-only,bold-title,**Original Text — Disjointed**
title:original text - incomplete and unclear,bold-only=1,1,2708,bold-only,bold-title,**Original Text — Incomplete And Unclear**
title:original text - incomplete and unstructured,bold-only=1,1,3314,bold-only,bold-title,**Original Text — Incomplete And Unstructured**
title:original text - insufficient and vague,bold-only=1,1,6519,bold-only,bold-title,**Original Text — Insufficient And Vague**
title:original text - listing without synthesis,bold-only=1,1,5787,bold-only,bold-title,**Original Text — Listing Without Synthesis**
title:original text - overly general,bold-only=1,1,5466,bold-only,bold-title,**Original Text — Overly General**
title:original text - sequential listing without synthesis,bold-only=1,1,7387,bold-only,bold-title,**Original Text — Sequential Listing Without Synthesis**
title:original text - too direct,bold-only=2,2,416,bold-only,bold-title,**Original Text — Too Direct**
title:original text - too direct,bold-only=2,2,1736,bold-only,bold-title,**Original Text — Too Direct**
title:original text - too informal and disorganised,bold-only=1,1,1067,bold-only,bold-title,**Original Text — Too Informal And Disorganised**
title:original text - too technical,bold-only=1,1,6162,bold-only,bold-title,**Original Text — Too Technical**
title:original text - unbalanced and vague,bold-only=1,1,5136,bold-only,bold-title,**Original Text — Unbalanced And Vague**
title:original text - unclear and disordered,bold-only=1,1,2401,bold-only,bold-title,**Original Text — Unclear And Disordered**
title:original text - unclear and imprecise,bold-only=1,1,3665,bold-only,bold-title,**Original Text — Unclear And Imprecise**
title:original text - unclear and vague,bold-only=1,1,4051,bold-only,bold-title,**Original Text — Unclear And Vague**
title:original text - unstructured,bold-only=1,1,2091,bold-only,bold-title,**Original Text — Unstructured**
title:original text - vague,bold-only=1,1,1402,bold-only,bold-title,**Original Text — Vague**
title:original text - vague and overgeneralised,bold-only=1,1,3012,bold-only,bold-title,**Original Text — Vague And Overgeneralised**
title:original text - vague and unstructured,bold-only=1,1,6891,bold-only,bold-title,**Original Text — Vague And Unstructured**
title:original text - weak and unsupported,bold-only=1,1,4760,bold-only,bold-title,**Original Text — Weak And Unsupported**
title:original text - weak response,bold-only=1,1,7678,bold-only,bold-title,**Original Text — Weak Response**
title:outstanding questions,bold-only=1,1,6911,bold-only,bold-title,**Outstanding Questions**
title:overall judgment,heading-4=1,1,7982,heading-4,heading,#### Overall Judgment
title:paragraph-level transformation - guided skill practice,heading-4=1,1,7422,heading-4,heading,#### 2. Paragraph-Level Transformation — Guided Skill Practice (C5)
title:paragraph-level transformation - guided skill practice (code) ★,heading-4=1,1,2157,heading-4,heading,#### 2. Paragraph-Level Transformation — Guided Skill Practice (C5) ★
title:paragraph-level transformation - paragraph revision practice,heading-4=3,3,3398,heading-4,heading,#### Paragraph-Level Transformation — Paragraph Revision Practice (C5)
title:paragraph-level transformation - paragraph revision practice,heading-4=3,3,4528,heading-4,heading,#### Paragraph-Level Transformation — Paragraph Revision Practice (C5)
title:paragraph-level transformation - paragraph revision practice,heading-4=3,3,5563,heading-4,heading,#### Paragraph-Level Transformation — Paragraph Revision Practice (C5)
title:pattern n: main idea → reason,heading-5=1,1,177,heading-5,heading,##### Pattern 1: Main Idea → Reason
title:pattern n: purpose clause → main action,heading-5=1,1,183,heading-5,heading,##### Pattern 2: Purpose Clause → Main Action
title:pattern n: segmenting dense content,heading-5=1,1,195,heading-5,heading,##### Pattern 3: Segmenting Dense Content
title:peer review - structured feedback exchange,heading-4=4,4,1284,heading-4,heading,#### Peer Review — Structured Feedback Exchange (F1)
title:peer review - structured feedback exchange,heading-4=4,4,1611,heading-4,heading,#### Peer Review — Structured Feedback Exchange (F1)
title:peer review - structured feedback exchange,heading-4=4,4,1957,heading-4,heading,#### Peer Review — Structured Feedback Exchange (F1)
title:peer review - structured feedback exchange,heading-4=4,4,2263,heading-4,heading,#### Peer Review — Structured Feedback Exchange (F1)
title:phrase bank building - build reusable language,heading-4=2,2,3787,heading-4,heading,#### Phrase Bank Building — Build Reusable Language (C8)
title:phrase bank building - build reusable language,heading-4=2,2,5875,heading-4,heading,#### Phrase Bank Building — Build Reusable Language (C8)
title:practice a - add coordinators,bold-only=1,1,132,bold-only,bold-title,**Practice A — Add Coordinators (C2)**
title:practice a - identify the function,heading-4=1,1,1150,heading-4,heading,#### Practice A — Identify The Function (C2)
title:practice a - match the function,bold-only=1,1,478,bold-only,bold-title,**Practice A — Match the Function**
title:practice a - rewrite the decision statement,bold-only=1,1,6570,bold-only,bold-title,**Practice A — Rewrite the Decision Statement**
title:practice a - sentence rewriting practice,heading-4=3,3,1464,heading-4,heading,#### Practice A — Sentence Rewriting Practice (C3)
title:practice a - sentence rewriting practice,heading-4=3,3,1827,heading-4,heading,#### Practice A — Sentence Rewriting Practice (C3)
title:practice a - sentence rewriting practice,heading-4=3,3,2146,heading-4,heading,#### Practice A — Sentence Rewriting Practice (C3)
title:practice a - sequence for logical flow,bold-only=1,1,810,bold-only,bold-title,**Practice A — Sequence for Logical Flow**
title:practice a - simplify the statement,bold-only=1,1,6209,bold-only,bold-title,**Practice A — Simplify the Statement**
title:practice a - write the opening sentence,bold-only=1,1,6996,bold-only,bold-title,**Practice A — Write the Opening Sentence**
title:practice b - add a purpose statement,bold-only=1,1,6251,bold-only,bold-title,**Practice B — Add a Purpose Statement**
title:practice b - error identification & correction (code) ★,heading-4=1,1,1853,heading-4,heading,#### Practice B — Error Identification & Correction (C4) ★
title:practice b - identify the subordination function,bold-only=1,1,158,bold-only,bold-title,**Practice B — Identify the Subordination Function (C2)**
title:practice b - phrase bank building (code) ★,heading-4=1,1,1490,heading-4,heading,#### Practice B — Phrase Bank Building (C8) ★
title:practice b - replace repetition,bold-only=1,1,834,bold-only,bold-title,**Practice B — Replace Repetition**
title:practice b - rewrite direct questions,bold-only=1,1,512,bold-only,bold-title,**Practice B — Rewrite Direct Questions**
title:practice b - rewrite for clarity and neutrality,bold-only=1,1,7030,bold-only,bold-title,**Practice B — Rewrite for Clarity and Neutrality**
title:practice b - sentence rewriting,heading-4=1,1,1163,heading-4,heading,#### Practice B — Sentence Rewriting (C3)
title:practice b - strengthen the rationale,bold-only=1,1,6604,bold-only,bold-title,**Practice B — Strengthen the Rationale**
title:practice c - add a benefit statement,bold-only=1,1,6638,bold-only,bold-title,**Practice C — Add a Benefit Statement**
title:practice c - add logical connectors,bold-only=1,1,868,bold-only,bold-title,**Practice C — Add Logical Connectors**
title:practice c - apply the patterns,bold-only=1,1,212,bold-only,bold-title,**Practice C — Apply the Patterns (C3)**
title:practice c - choose the appropriate version,bold-only=1,1,539,bold-only,bold-title,**Practice C — Choose the Appropriate Version**
title:practice c - clarify the action,bold-only=1,1,7061,bold-only,bold-title,**Practice C — Clarify the Action**
title:practice c - rewrite to include the required action,bold-only=1,1,6285,bold-only,bold-title,**Practice C — Rewrite to Include the Required Action**
title:practice d - add a next-step statement,bold-only=1,1,7095,bold-only,bold-title,**Practice D — Add a Next-Step Statement**
title:practice d - organise the justification,bold-only=1,1,6666,bold-only,bold-title,**Practice D — Organise the Justification**
title:prediction task - anticipate reader needs,heading-4=4,4,2672,heading-4,heading,#### Prediction Task — Anticipate Reader Needs (A4)
title:prediction task - anticipate reader needs,heading-4=4,4,4030,heading-4,heading,#### Prediction Task — Anticipate Reader Needs (A4)
title:prediction task - anticipate reader needs,heading-4=4,4,5448,heading-4,heading,#### Prediction Task — Anticipate Reader Needs (A4)
title:prediction task - anticipate reader needs,heading-4=4,4,7331,heading-4,heading,#### Prediction Task — Anticipate Reader Needs (A4)
title:problem identification - identify communication issues,heading-4=6,6,1047,heading-4,heading,#### Problem Identification — Identify Communication Issues (A2)
title:problem identification - identify communication issues,heading-4=6,6,1382,heading-4,heading,#### Problem Identification — Identify Communication Issues (A2)
title:problem identification - identify communication issues,heading-4=6,6,2073,heading-4,heading,#### Problem Identification — Identify Communication Issues (A2)
title:problem identification - identify communication issues,heading-4=6,6,2991,heading-4,heading,#### Problem Identification — Identify Communication Issues (A2)
title:problem identification - identify communication issues,heading-4=6,6,3294,heading-4,heading,#### Problem Identification — Identify Communication Issues (A2)
title:problem identification - identify communication issues,heading-4=6,6,6499,heading-4,heading,#### Problem Identification — Identify Communication Issues (A2)
title:procedure for reviewing applicant submissions,bold-only=1,1,2408,bold-only,bold-title,**Procedure for Reviewing Applicant Submissions**
title:providing background context,heading-4=1,1,3711,heading-4,heading,#### 1. Providing Background Context
title:purpose,bold-only=1,1,1124,bold-only,bold-title,**Purpose**
title:reading-to-write input - source-based preparation,heading-4=4,4,4787,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation (B6)
title:reading-to-write input - source-based preparation,heading-4=4,4,5811,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation (B6)
title:reading-to-write input - source-based preparation,heading-4=4,4,6131,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation (B6)
title:reading-to-write input - source-based preparation,heading-4=4,4,7353,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation (B6)
title:real document analysis - workplace document analysis,heading-4=5,5,2370,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis (A5)
title:real document analysis - workplace document analysis,heading-4=5,5,3631,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis (A5)
title:real document analysis - workplace document analysis,heading-4=5,5,4734,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis (A5)
title:real document analysis - workplace document analysis,heading-4=5,5,5757,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis (A5)
title:real document analysis - workplace document analysis,heading-4=5,5,6867,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis (A5)
title:real-world task - workplace transfer practice,heading-4=2,2,3966,heading-4,heading,#### Real-World Task — Workplace Transfer Practice (H2)
title:real-world task - workplace transfer practice,heading-4=2,2,6041,heading-4,heading,#### Real-World Task — Workplace Transfer Practice (H2)
title:real-world task - workplace transfer practice (code) ★,heading-4=1,1,2006,heading-4,heading,#### Real-World Task — Workplace Transfer Practice (H2) ★
title:rebuild the disjointed model - cohesion rebuild practice,heading-4=1,1,881,heading-4,heading,#### Rebuild The Disjointed Model — Cohesion Rebuild Practice (D1)
title:reference and continuity - guided skill practice,heading-4=1,1,821,heading-4,heading,#### 2. Reference And Continuity — Guided Skill Practice (C3)
title:referencing documents,bold-only=1,1,1452,bold-only,bold-title,**Referencing documents**
title:referencing policy or guidelines,heading-4=1,1,4819,heading-4,heading,#### 1. Referencing Policy or Guidelines
title:reorganise and rewrite - paragraph organization practice,heading-4=1,1,898,heading-4,heading,#### Reorganise And Rewrite — Paragraph Organization Practice (D5)
title:requests,bold-only=1,1,1132,bold-only,bold-title,**Requests**
title:revised text,bold-only=1,1,60,bold-only,bold-title,**Revised Text**
"title:revised text - balanced, structured evaluation",bold-only=1,1,5142,bold-only,bold-title,"**Revised Text — Balanced, Structured Evaluation**"
title:revised text - clear change notification,bold-only=1,1,2714,bold-only,bold-title,**Revised Text — Clear Change Notification**
title:revised text - clear multi-audience message,bold-only=1,1,4428,bold-only,bold-title,**Revised Text — Clear Multi-Audience Message**
"title:revised text - clear, multi-factor explanation",bold-only=1,1,3018,bold-only,bold-title,"**Revised Text — Clear, Multi-Factor Explanation**"
title:revised text - cohesive,bold-only=1,1,753,bold-only,bold-title,**Revised Text — Cohesive**
title:revised text - concise executive brief,bold-only=1,1,5472,bold-only,bold-title,**Revised Text — Concise Executive Brief**
"title:revised text - concise, policy-aligned justification",bold-only=1,1,6525,bold-only,bold-title,"**Revised Text — Concise, Policy-Aligned Justification**"
title:revised text - consolidated administrative report,bold-only=1,1,6897,bold-only,bold-title,**Revised Text — Consolidated Administrative Report**
title:revised text - diplomatic,bold-only=2,2,422,bold-only,bold-title,**Revised Text — Diplomatic**
title:revised text - diplomatic,bold-only=2,2,1742,bold-only,bold-title,**Revised Text — Diplomatic**
"title:revised text - diplomatic, structured external inquiry",bold-only=1,1,3671,bold-only,bold-title,"**Revised Text — Diplomatic, Structured External Inquiry**"
title:revised text - executive-level summary,bold-only=1,1,3320,bold-only,bold-title,**Revised Text — Executive-Level Summary**
title:revised text - integrated administrative notice,bold-only=1,1,7368,bold-only,bold-title,**Revised Text — Integrated Administrative Notice**
title:revised text - layered and prioritised,bold-only=1,1,2097,bold-only,bold-title,**Revised Text — Layered And Prioritised**
title:revised text - plain-language policy summary,bold-only=1,1,6168,bold-only,bold-title,**Revised Text — Plain-Language Policy Summary**
title:revised text - policy-aligned rationale,bold-only=1,1,4766,bold-only,bold-title,**Revised Text — Policy-Aligned Rationale**
title:revised text - precise and structured,bold-only=1,1,1408,bold-only,bold-title,**Revised Text — Precise And Structured**
title:revised text - strong response,bold-only=1,1,7684,bold-only,bold-title,**Revised Text — Strong Response**
title:revised text - structured and diplomatic,bold-only=1,1,1073,bold-only,bold-title,**Revised Text — Structured And Diplomatic**
title:revised text - structured procedure,bold-only=1,1,2407,bold-only,bold-title,**Revised Text — Structured Procedure**
title:revised text - structured risk & impact assessment,bold-only=1,1,4057,bold-only,bold-title,**Revised Text — Structured Risk & Impact Assessment**
title:revised text - synthesised across sources,bold-only=1,1,5793,bold-only,bold-title,**Revised Text — Synthesised Across Sources**
title:revision chain - prior work,heading-4=1,1,7741,heading-4,heading,#### Revision Chain — Prior Work (D6)
title:revision chain - step-by-step revision,heading-4=2,2,5274,heading-4,heading,#### Revision Chain — Step-By-Step Revision (D6)
title:revision chain - step-by-step revision,heading-4=2,2,7467,heading-4,heading,#### Revision Chain — Step-By-Step Revision (D6)
"title:rewrite the following as thematic, synthesised sentences.",bold-only=1,1,5868,bold-only,bold-title,"**Rewrite the following as thematic, synthesised sentences.**"
title:rewrite the following sentences for an executive audience.,bold-only=1,1,5556,bold-only,bold-title,**Rewrite the following sentences for an executive audience.**
"title:rewrite the following sentences using neutral, professional language.",bold-only=1,1,5222,bold-only,bold-title,"**Rewrite the following sentences using neutral, professional language.**"
title:rewrite the model text - model revision practice,heading-4=3,3,228,heading-4,heading,#### Rewrite The Model Text — Model Revision Practice (D1)
title:rewrite the model text - model revision practice,heading-4=3,3,556,heading-4,heading,#### Rewrite The Model Text — Model Revision Practice (D1)
title:rewrite the model text - model revision practice,heading-4=3,3,6298,heading-4,heading,#### Rewrite The Model Text — Model Revision Practice (D1)
title:rewrite the original inquiry - inquiry revision practice,heading-4=1,1,3835,heading-4,heading,#### Rewrite The Original Inquiry — Inquiry Revision Practice (D1)
title:rewrite the original justification - justification revision practice,heading-4=1,1,6689,heading-4,heading,#### Rewrite The Original Justification — Justification Revision Practice (D1)
title:rewrite the original message - message revision practice,heading-4=1,1,4550,heading-4,heading,#### Rewrite The Original Message — Message Revision Practice (D1)
title:rewrite the original rationale - rationale revision practice,heading-4=1,1,4888,heading-4,heading,#### Rewrite The Original Rationale — Rationale Revision Practice (D1)
title:rewrite the original report - report revision practice,heading-4=1,1,7108,heading-4,heading,#### Rewrite The Original Report — Report Revision Practice (D1)
title:rewrite the original text - model revision practice,heading-4=1,1,4193,heading-4,heading,#### Rewrite The Original Text — Model Revision Practice (D1)
title:role-based writing task - audience-specific response,heading-4=2,2,3880,heading-4,heading,#### Role-Based Writing Task — Audience-Specific Response (E3)
title:role-based writing task - audience-specific response,heading-4=2,2,6351,heading-4,heading,#### Role-Based Writing Task — Audience-Specific Response (E3)
title:role-based writing task - audience-specific response (code) ★,heading-4=1,1,1580,heading-4,heading,#### Role-Based Writing Task — Audience-Specific Response (E3) ★
title:scenario writing - guided skill practice,heading-4=4,4,1232,heading-4,heading,#### Scenario Writing — Guided Skill Practice (D2)
title:scenario writing - guided skill practice,heading-4=4,4,1899,heading-4,heading,#### Scenario Writing — Guided Skill Practice (D2)
title:scenario writing - guided skill practice,heading-4=4,4,2206,heading-4,heading,#### Scenario Writing — Guided Skill Practice (D2)
title:scenario writing - guided skill practice,heading-4=4,4,5936,heading-4,heading,#### Scenario Writing — Guided Skill Practice (D2)
title:scenario-based free write - realistic administrative response,heading-4=12,12,290,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based free write - realistic administrative response,heading-4=12,12,602,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based free write - realistic administrative response,heading-4=12,12,928,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based free write - realistic administrative response,heading-4=12,12,2541,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based free write - realistic administrative response,heading-4=12,12,2858,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based free write - realistic administrative response,heading-4=12,12,3484,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based free write - realistic administrative response,heading-4=12,12,4246,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based free write - realistic administrative response,heading-4=12,12,4946,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response (E1)
title:scenario-based risk assessment - risk and response planning,heading-4=1,1,4211,heading-4,heading,#### Scenario-Based Risk Assessment — Risk And Response Planning (D2)
title:scenario-based writing - administrative scenario response,heading-4=1,1,3130,heading-4,heading,#### Scenario-Based Writing — Administrative Scenario Response (D2)
title:self-assessment rubric - evaluate your draft,heading-4=1,1,7828,heading-4,heading,#### Self-Assessment Rubric — Evaluate Your Draft (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,315,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,635,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,956,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,1295,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,1622,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,1968,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,2274,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:self-editing checklist - final revision audit,heading-4=22,22,2579,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit (F3)
title:sentence rewriting - grouping information and showing relationships,heading-4=1,1,5829,heading-4,heading,#### Sentence Rewriting — Grouping Information And Showing Relationships (C3)
title:sentence rewriting - guided skill practice,heading-4=7,7,2465,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice (C3)
title:sentence rewriting - guided skill practice,heading-4=7,7,2759,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice (C3)
title:sentence rewriting - guided skill practice,heading-4=7,7,3085,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice (C3)
title:sentence rewriting - guided skill practice,heading-4=7,7,3386,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice (C3)
title:sentence rewriting - guided skill practice,heading-4=7,7,4133,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice (C3)
title:sentence rewriting - guided skill practice,heading-4=7,7,4499,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice (C3)
title:sentence rewriting - guided skill practice,heading-4=7,7,4838,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice (C3)
"title:sentence rewriting - objective, neutral language",heading-4=1,1,5202,heading-4,heading,"#### Sentence Rewriting — Objective, Neutral Language (C3)"
title:sentence rewriting - writing clear overviews and key points,heading-4=1,1,5527,heading-4,heading,#### Sentence Rewriting — Writing Clear Overviews And Key Points (C3)
title:sequencing / ordering task - guided skill practice,heading-4=1,1,2452,heading-4,heading,#### Sequencing / Ordering Task — Guided Skill Practice (C6)
title:sequencing and prioritising requests,heading-4=1,1,2131,heading-4,heading,#### 1. Sequencing and Prioritising Requests
title:simplifying technical references,heading-4=1,1,6192,heading-4,heading,#### 1. Simplifying Technical References
title:softening strategies - guided skill practice,heading-4=1,1,459,heading-4,heading,#### 1. Softening Strategies — Guided Skill Practice (C2)
title:sorting / categorisation - classify writing choices,heading-4=2,2,714,heading-4,heading,#### Sorting / Categorisation — Classify Writing Choices (A3)
title:sorting / categorisation - classify writing choices,heading-4=2,2,5099,heading-4,heading,#### Sorting / Categorisation — Classify Writing Choices (A3)
title:source n - email from office a (n march),bold-only=1,1,5761,bold-only,bold-title,**Source 1 — Email from Office A (14 March)**
title:source n - internal report (n march),bold-only=1,1,5767,bold-only,bold-title,**Source 3 — Internal report (20 March)**
title:source n - meeting notes (n march),bold-only=1,1,5764,bold-only,bold-title,**Source 2 — Meeting Notes (17 March)**
title:stating expected benefits,heading-4=1,1,6615,heading-4,heading,#### 3. Stating Expected Benefits
title:stating required actions clearly,heading-4=1,1,6262,heading-4,heading,#### 3. Stating Required Actions Clearly
title:stating the decision clearly,heading-4=1,1,6547,heading-4,heading,#### 1. Stating the Decision Clearly
title:strengths:,bold-only=1,1,5146,bold-only,bold-title,**Strengths:**
title:structural building blocks,heading-4=1,1,1104,heading-4,heading,#### 1. Structural Building Blocks
title:structural deconstruction - document structure analysis,heading-4=2,2,3692,heading-4,heading,#### Structural Deconstruction — Document Structure Analysis (B3)
title:structural deconstruction - document structure analysis,heading-4=2,2,6925,heading-4,heading,#### Structural Deconstruction — Document Structure Analysis (B3)
title:structural deconstruction - document structure analysis (code) ★,heading-4=1,1,1091,heading-4,heading,#### Structural Deconstruction — Document Structure Analysis (B3) ★
title:structuring a complete justification,heading-4=1,1,6649,heading-4,heading,#### 4. Structuring a Complete Justification
title:structuring multi-part questions,heading-4=1,1,1476,heading-4,heading,#### 2. Structuring Multi-Part Questions
title:subordination (showing supporting or secondary ideas),heading-4=1,1,143,heading-4,heading,#### 2. Subordination (Showing Supporting Or Secondary Ideas)
title:summary,bold-only=1,1,6898,bold-only,bold-title,**Summary**
title:task - write a diplomatic error notification,heading-4=1,1,1927,heading-4,heading,#### Task — Write A Diplomatic Error Notification (E1)
title:task - write a full high-level email,heading-4=1,1,1254,heading-4,heading,#### Task — Write A Full High-Level Email (E1)
title:task - write a multi-part request message,heading-4=1,1,2233,heading-4,heading,#### Task — Write A Multi-Part Request Message (E1)
title:template-guided writing - guided template practice,heading-4=2,2,2813,heading-4,heading,#### Template-Guided Writing — Guided Template Practice (D3)
title:template-guided writing - guided template practice,heading-4=2,2,4905,heading-4,heading,#### Template-Guided Writing — Guided Template Practice (D3)
title:template-guided writing - guided template practice (code) ★,heading-4=1,1,1198,heading-4,heading,#### Template-Guided Writing — Guided Template Practice (D3) ★
title:thematic progression - guided skill practice,heading-4=1,1,845,heading-4,heading,#### 3. Thematic Progression — Guided Skill Practice (C3)
title:tone transformation - adjust register and diplomacy,heading-4=1,1,574,heading-4,heading,#### Tone Transformation — Adjust Register And Diplomacy (D4)
title:track-change simulation - revision decision practice,heading-4=4,4,5000,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice (G3)
title:track-change simulation - revision decision practice,heading-4=4,4,5372,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice (G3)
title:track-change simulation - revision decision practice,heading-4=4,4,7570,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice (G3)
title:track-change simulation - revision decision practice,heading-4=4,4,7874,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice (G3)
title:two-audience version task - adapt for two audiences,heading-4=3,3,1539,heading-4,heading,#### Two-Audience Version Task — Adapt For Two Audiences (D4)
title:two-audience version task - adapt for two audiences,heading-4=3,3,3853,heading-4,heading,#### Two-Audience Version Task — Adapt For Two Audiences (D4)
title:two-audience version task - adapt for two audiences,heading-4=3,3,4568,heading-4,heading,#### Two-Audience Version Task — Adapt For Two Audiences (D4)
title:unit n - capstone: full administrative writing assessment,heading-2=1,1,7626,heading-2,heading,## Unit 23 — Capstone: Full Administrative Writing Assessment
title:unit n - change management writing,heading-2=1,1,2656,heading-2,heading,## Unit 9 — Change Management Writing
title:unit n - cohesion & logical flow,heading-2=1,1,698,heading-2,heading,## Unit 3 — Cohesion & Logical Flow
title:unit n - communicating errors diplomatically,heading-2=1,1,1696,heading-2,heading,## Unit 6 — Communicating Errors Diplomatically
title:unit n - controlling sentence complexity,heading-2=1,1,15,heading-2,heading,## Unit 1 — Controlling Sentence Complexity
title:unit n - drafting consolidated administrative reports,heading-2=1,1,6851,heading-2,heading,## Unit 21 — Drafting Consolidated Administrative Reports
title:unit n - drafting executive briefs,heading-2=1,1,5432,heading-2,heading,## Unit 17 — Drafting Executive Briefs
title:unit n - drafting policy-aligned rationales,heading-2=1,1,4718,heading-2,heading,## Unit 15 — Drafting Policy-Aligned Rationales
title:unit n - executive-level meeting summaries,heading-2=1,1,3278,heading-2,heading,## Unit 11 — Executive-Level Meeting Summaries
title:unit n - explaining complex issues,heading-2=1,1,2975,heading-2,heading,## Unit 10 — Explaining Complex Issues
title:unit n - high-level external inquiries,heading-2=1,1,3615,heading-2,heading,## Unit 12 — High-Level External Inquiries
title:unit n - integrated writing task: complex scenario response,heading-2=1,1,7315,heading-2,heading,## Unit 22 — Integrated Writing Task: Complex Scenario Response
title:unit n - layered requests: managing multi-part actions,heading-2=1,1,2057,heading-2,heading,## Unit 7 — Layered Requests: Managing Multi-Part Actions
title:unit n - structuring high-level emails,heading-2=1,1,1032,heading-2,heading,## Unit 4 — Structuring High-Level Emails
title:unit n - synthesising information from multiple sources,heading-2=1,1,5741,heading-2,heading,## Unit 18 — Synthesising Information from Multiple Sources
title:unit n - tone for agency-level communication,heading-2=1,1,381,heading-2,heading,## Unit 2 — Tone for Agency-Level Communication
title:unit n - writing balanced evaluations,heading-2=1,1,5083,heading-2,heading,## Unit 16 — Writing Balanced Evaluations
title:unit n - writing clear procedures (advanced),heading-2=1,1,2354,heading-2,heading,## Unit 8 — Writing Clear Procedures (Advanced)
title:unit n - writing complex multi-audience messages,heading-2=1,1,4375,heading-2,heading,## Unit 14 — Writing Complex Multi-Audience Messages
title:unit n - writing concise justifications for decisions,heading-2=1,1,6483,heading-2,heading,## Unit 20 — Writing Concise Justifications for Decisions
title:unit n - writing for risk & impact assessment,heading-2=1,1,4014,heading-2,heading,## Unit 13 — Writing for Risk & Impact Assessment
title:unit n - writing policy summaries for non-expert audiences,heading-2=1,1,6097,heading-2,heading,## Unit 19 — Writing Policy Summaries for Non-Expert Audiences
title:unit n - writing precise clarification requests,heading-2=1,1,1366,heading-2,heading,## Unit 5 — Writing Precise Clarification Requests
title:unit n capstone assessment rubric,heading-3=1,1,7923,heading-3,heading,### Unit 23 Capstone Assessment Rubric
title:unit overview,heading-3=23,23,17,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,383,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,700,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,1034,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,1368,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,1698,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,2059,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,2356,heading-3,heading,### Unit Overview
title:useful phrases,heading-4=1,1,1118,heading-4,heading,#### Useful Phrases
title:useful phrases for precise clarification,heading-4=1,1,1442,heading-4,heading,#### 1. Useful Phrases for Precise Clarification
title:where to review this skill,bold-only=1,1,7836,bold-only,bold-title,**Where to review this skill**
title:where to send students for review,heading-4=1,1,7943,heading-4,heading,#### Where To Send Students For Review
title:worked example:,bold-only=20,20,531,bold-only,bold-title,**Worked Example:**
