paragraph_type,forms,total,line,form,kind,text
title:original text - sequential listing without synthesis,bold-only=1,1,7407,bold-only,bold-title,**Original Text — Sequential Listing Without Synthesis**
title:original text - too direct,bold-only=2,2,416,bold-only,bold-title,**Original Text — Too Direct**
title:original text - too direct,bold-only=2,2,1748,bold-only,bold-title,**Original Text — Too Direct**
title:original text - too informal and disorganised,bold-only=1,1,1079,bold-only,bold-title,**Original Text — Too Informal And Disorganised**
title:original text - too technical,bold-only=1,1,6179,bold-only,bold-title,**Original Text — Too Technical**
title:original text - unbalanced and vague,bold-only=1,1,5153,bold-only,bold-title,**Original Text — Unbalanced And Vague**
title:original text - unclear and disordered,bold-only=1,1,2413,bold-only,bold-title,**Original Text — Unclear And Disordered**
title:original text - unclear and imprecise,bold-only=1,1,3682,bold-only,bold-title,**Original Text — Unclear And Imprecise**
title:original text - unclear and vague,bold-only=1,1,4068,bold-only,bold-title,**Original Text — Unclear And Vague**
title:original text - unstructured,bold-only=1,1,2103,bold-only,bold-title,**Original Text — Unstructured**
title:original text - vague,bold-only=1,1,1414,bold-only,bold-title,**Original Text — Vague**
title:original text - vague and overgeneralised,bold-only=1,1,3029,bold-only,bold-title,**Original Text — Vague And Overgeneralised**
title:original text - vague and unstructured,bold-only=1,1,6911,bold-only,bold-title,**Original Text — Vague And Unstructured**
title:original text - weak and unsupported,bold-only=1,1,4777,bold-only,bold-title,**Original Text — Weak And Unsupported**
title:original text - weak response,bold-only=1,1,7700,bold-only,bold-title,**Original Text — Weak Response**
title:outstanding questions,heading-4=1,1,6931,heading-4,heading,#### Outstanding Questions
title:overall judgment,heading-4=1,1,8004,heading-4,heading,#### Overall Judgment
title:paragraph-level transformation - guided skill practice,heading-4=1,1,7442,heading-4,heading,#### 2. Paragraph-Level Transformation — Guided Skill Practice
title:paragraph-level transformation - guided skill practice (code) ★,heading-4=1,1,2169,heading-4,heading,#### 2. Paragraph-Level Transformation — Guided Skill Practice (C5) ★
title:paragraph-level transformation - paragraph revision practice,heading-4=3,3,3415,heading-4,heading,#### Paragraph-Level Transformation — Paragraph Revision Practice
title:paragraph-level transformation - paragraph revision practice,heading-4=3,3,4545,heading-4,heading,#### Paragraph-Level Transformation — Paragraph Revision Practice
title:paragraph-level transformation - paragraph revision practice,heading-4=3,3,5580,heading-4,heading,#### Paragraph-Level Transformation — Paragraph Revision Practice
title:pattern n: main idea → reason,heading-5=1,1,177,heading-5,heading,##### Pattern 1: Main Idea → Reason
title:pattern n: purpose clause → main action,heading-5=1,1,183,heading-5,heading,##### Pattern 2: Purpose Clause → Main Action
title:pattern n: segmenting dense content,heading-5=1,1,195,heading-5,heading,##### Pattern 3: Segmenting Dense Content
title:peer review - structured feedback exchange,heading-4=4,4,1296,heading-4,heading,#### Peer Review — Structured Feedback Exchange
title:peer review - structured feedback exchange,heading-4=4,4,1623,heading-4,heading,#### Peer Review — Structured Feedback Exchange
title:peer review - structured feedback exchange,heading-4=4,4,1969,heading-4,heading,#### Peer Review — Structured Feedback Exchange
title:peer review - structured feedback exchange,heading-4=4,4,2275,heading-4,heading,#### Peer Review — Structured Feedback Exchange
title:phrase bank building - build reusable language,heading-4=2,2,3804,heading-4,heading,#### Phrase Bank Building — Build Reusable Language
title:phrase bank building - build reusable language,heading-4=2,2,5892,heading-4,heading,#### Phrase Bank Building — Build Reusable Language
title:practice a - add coordinators,heading-4=1,1,132,heading-4,heading,#### Practice A — Add Coordinators
title:practice a - identify the function,heading-4=1,1,1162,heading-4,heading,#### Practice A — Identify The Function
title:practice a - match the function,heading-4=1,1,478,heading-4,heading,#### Practice A — Match the Function
title:practice a - rewrite the decision statement,heading-4=1,1,6587,heading-4,heading,#### Practice A — Rewrite the Decision Statement
title:practice a - sentence rewriting practice,heading-4=3,3,1476,heading-4,heading,#### Practice A — Sentence Rewriting Practice
title:practice a - sentence rewriting practice,heading-4=3,3,1839,heading-4,heading,#### Practice A — Sentence Rewriting Practice
title:practice a - sentence rewriting practice,heading-4=3,3,2158,heading-4,heading,#### Practice A — Sentence Rewriting Practice
title:practice a - sequence for logical flow,heading-4=1,1,817,heading-4,heading,#### Practice A — Sequence for Logical Flow
title:practice a - simplify the statement,heading-4=1,1,6226,heading-4,heading,#### Practice A — Simplify the Statement
title:practice a - write the opening sentence,heading-4=1,1,7016,heading-4,heading,#### Practice A — Write the Opening Sentence
title:practice b - add a purpose statement,heading-4=1,1,6268,heading-4,heading,#### Practice B — Add a Purpose Statement
title:practice b - error identification & correction (code) ★,heading-4=1,1,1865,heading-4,heading,#### Practice B — Error Identification & Correction (C4) ★
title:practice b - identify the subordination function,heading-4=1,1,158,heading-4,heading,#### Practice B — Identify the Subordination Function
title:practice b - phrase bank building (code) ★,heading-4=1,1,1502,heading-4,heading,#### Practice B — Phrase Bank Building (C8) ★
title:practice b - replace repetition,heading-4=1,1,844,heading-4,heading,#### Practice B — Replace Repetition
title:practice b - rewrite direct questions,heading-4=1,1,515,heading-4,heading,#### Practice B — Rewrite Direct Questions
title:practice b - rewrite for clarity and neutrality,heading-4=1,1,7050,heading-4,heading,#### Practice B — Rewrite for Clarity and Neutrality
title:practice b - sentence rewriting,heading-4=1,1,1175,heading-4,heading,#### Practice B — Sentence Rewriting
title:practice b - strengthen the rationale,heading-4=1,1,6621,heading-4,heading,#### Practice B — Strengthen the Rationale
title:practice c - add a benefit statement,heading-4=1,1,6655,heading-4,heading,#### Practice C — Add a Benefit Statement
title:practice c - add logical connectors,heading-4=1,1,880,heading-4,heading,#### Practice C — Add Logical Connectors
title:practice c - apply the patterns,heading-4=1,1,212,heading-4,heading,#### Practice C — Apply the Patterns
title:practice c - choose the appropriate version,heading-4=1,1,544,heading-4,heading,#### Practice C — Choose the Appropriate Version
title:practice c - clarify the action,heading-4=1,1,7081,heading-4,heading,#### Practice C — Clarify the Action
title:practice c - rewrite to include the required action,heading-4=1,1,6302,heading-4,heading,#### Practice C — Rewrite to Include the Required Action
title:practice d - add a next-step statement,heading-4=1,1,7115,heading-4,heading,#### Practice D — Add a Next-Step Statement
title:practice d - organise the justification,heading-4=1,1,6683,heading-4,heading,#### Practice D — Organise the Justification
title:prediction task - anticipate reader needs,heading-4=4,4,2689,heading-4,heading,#### Prediction Task — Anticipate Reader Needs
title:prediction task - anticipate reader needs,heading-4=4,4,4047,heading-4,heading,#### Prediction Task — Anticipate Reader Needs
title:prediction task - anticipate reader needs,heading-4=4,4,5465,heading-4,heading,#### Prediction Task — Anticipate Reader Needs
title:prediction task - anticipate reader needs,heading-4=4,4,7351,heading-4,heading,#### Prediction Task — Anticipate Reader Needs
title:problem identification - identify communication issues,heading-4=6,6,1059,heading-4,heading,#### Problem Identification — Identify Communication Issues
title:problem identification - identify communication issues,heading-4=6,6,1394,heading-4,heading,#### Problem Identification — Identify Communication Issues
title:problem identification - identify communication issues,heading-4=6,6,2085,heading-4,heading,#### Problem Identification — Identify Communication Issues
title:problem identification - identify communication issues,heading-4=6,6,3008,heading-4,heading,#### Problem Identification — Identify Communication Issues
title:problem identification - identify communication issues,heading-4=6,6,3311,heading-4,heading,#### Problem Identification — Identify Communication Issues
title:problem identification - identify communication issues,heading-4=6,6,6516,heading-4,heading,#### Problem Identification — Identify Communication Issues
title:procedure for reviewing applicant submissions,heading-4=1,1,2420,heading-4,heading,#### Procedure for Reviewing Applicant Submissions
title:providing background context,heading-4=1,1,3728,heading-4,heading,#### 1. Providing Background Context
title:purpose,bold-only=1,1,1136,bold-only,bold-title,**Purpose**
title:reading-to-write input - source-based preparation,heading-4=4,4,4804,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation
title:reading-to-write input - source-based preparation,heading-4=4,4,5828,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation
title:reading-to-write input - source-based preparation,heading-4=4,4,6148,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation
title:reading-to-write input - source-based preparation,heading-4=4,4,7373,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation
title:real document analysis - workplace document analysis,heading-4=5,5,2382,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis
title:real document analysis - workplace document analysis,heading-4=5,5,3648,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis
title:real document analysis - workplace document analysis,heading-4=5,5,4751,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis
title:real document analysis - workplace document analysis,heading-4=5,5,5774,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis
title:real document analysis - workplace document analysis,heading-4=5,5,6887,heading-4,heading,#### Real Document Analysis — Workplace Document Analysis
title:real-world task - workplace transfer practice,heading-4=2,2,3983,heading-4,heading,#### Real-World Task — Workplace Transfer Practice
title:real-world task - workplace transfer practice,heading-4=2,2,6058,heading-4,heading,#### Real-World Task — Workplace Transfer Practice
title:real-world task - workplace transfer practice (code) ★,heading-4=1,1,2018,heading-4,heading,#### Real-World Task — Workplace Transfer Practice (H2) ★
title:rebuild the disjointed model - cohesion rebuild practice,heading-4=1,1,893,heading-4,heading,#### Rebuild The Disjointed Model — Cohesion Rebuild Practice
title:reference and continuity - guided skill practice,heading-4=1,1,831,heading-4,heading,#### 2. Reference And Continuity — Guided Skill Practice
title:referencing documents,bold-only=1,1,1464,bold-only,bold-title,**Referencing documents**
title:referencing policy or guidelines,heading-4=1,1,4836,heading-4,heading,#### 1. Referencing Policy or Guidelines
title:reorganise and rewrite - paragraph organization practice,heading-4=1,1,910,heading-4,heading,#### Reorganise And Rewrite — Paragraph Organization Practice
title:requests,bold-only=1,1,1144,bold-only,bold-title,**Requests**
title:revised text,bold-only=1,1,60,bold-only,bold-title,**Revised Text**
"title:revised text - balanced, structured evaluation",bold-only=1,1,5159,bold-only,bold-title,"**Revised Text — Balanced, Structured Evaluation**"
title:revised text - clear change notification,bold-only=1,1,2731,bold-only,bold-title,**Revised Text — Clear Change Notification**
title:revised text - clear multi-audience message,bold-only=1,1,4445,bold-only,bold-title,**Revised Text — Clear Multi-Audience Message**
"title:revised text - clear, multi-factor explanation",bold-only=1,1,3035,bold-only,bold-title,"**Revised Text — Clear, Multi-Factor Explanation**"
title:revised text - cohesive,bold-only=1,1,760,bold-only,bold-title,**Revised Text — Cohesive**
title:revised text - concise executive brief,bold-only=1,1,5489,bold-only,bold-title,**Revised Text — Concise Executive Brief**
"title:revised text - concise, policy-aligned justification",bold-only=1,1,6542,bold-only,bold-title,"**Revised Text — Concise, Policy-Aligned Justification**"
title:revised text - consolidated administrative report,bold-only=1,1,6917,bold-only,bold-title,**Revised Text — Consolidated Administrative Report**
title:revised text - diplomatic,bold-only=2,2,422,bold-only,bold-title,**Revised Text — Diplomatic**
title:revised text - diplomatic,bold-only=2,2,1754,bold-only,bold-title,**Revised Text — Diplomatic**
"title:revised text - diplomatic, structured external inquiry",bold-only=1,1,3688,bold-only,bold-title,"**Revised Text — Diplomatic, Structured External Inquiry**"
title:revised text - executive-level summary,bold-only=1,1,3337,bold-only,bold-title,**Revised Text — Executive-Level Summary**
title:revised text - integrated administrative notice,bold-only=1,1,7388,bold-only,bold-title,**Revised Text — Integrated Administrative Notice**
title:revised text - layered and prioritised,bold-only=1,1,2109,bold-only,bold-title,**Revised Text — Layered And Prioritised**
title:revised text - plain-language policy summary,bold-only=1,1,6185,bold-only,bold-title,**Revised Text — Plain-Language Policy Summary**
title:revised text - policy-aligned rationale,bold-only=1,1,4783,bold-only,bold-title,**Revised Text — Policy-Aligned Rationale**
title:revised text - precise and structured,bold-only=1,1,1420,bold-only,bold-title,**Revised Text — Precise And Structured**
title:revised text - strong response,bold-only=1,1,7706,bold-only,bold-title,**Revised Text — Strong Response**
title:revised text - structured and diplomatic,bold-only=1,1,1085,bold-only,bold-title,**Revised Text — Structured And Diplomatic**
title:revised text - structured procedure,bold-only=1,1,2419,bold-only,bold-title,**Revised Text — Structured Procedure**
title:revised text - structured risk & impact assessment,bold-only=1,1,4074,bold-only,bold-title,**Revised Text — Structured Risk & Impact Assessment**
title:revised text - synthesised across sources,bold-only=1,1,5810,bold-only,bold-title,**Revised Text — Synthesised Across Sources**
title:revision chain - prior work,heading-4=1,1,7763,heading-4,heading,#### Revision Chain — Prior Work
title:revision chain - step-by-step revision,heading-4=2,2,5291,heading-4,heading,#### Revision Chain — Step-By-Step Revision
title:revision chain - step-by-step revision,heading-4=2,2,7487,heading-4,heading,#### Revision Chain — Step-By-Step Revision
"title:rewrite the following as thematic, synthesised sentences.",heading-4=1,1,5885,heading-4,heading,"#### Rewrite the following as thematic, synthesised sentences."
title:rewrite the following sentences for an executive audience.,heading-4=1,1,5573,heading-4,heading,#### Rewrite the following sentences for an executive audience.
"title:rewrite the following sentences using neutral, professional language.",heading-4=1,1,5239,heading-4,heading,"#### Rewrite the following sentences using neutral, professional language."
title:rewrite the model text - model revision practice,heading-4=3,3,228,heading-4,heading,#### Rewrite The Model Text — Model Revision Practice
title:rewrite the model text - model revision practice,heading-4=3,3,563,heading-4,heading,#### Rewrite The Model Text — Model Revision Practice
title:rewrite the model text - model revision practice,heading-4=3,3,6315,heading-4,heading,#### Rewrite The Model Text — Model Revision Practice
title:rewrite the original inquiry - inquiry revision practice,heading-4=1,1,3852,heading-4,heading,#### Rewrite The Original Inquiry — Inquiry Revision Practice
title:rewrite the original justification - justification revision practice,heading-4=1,1,6709,heading-4,heading,#### Rewrite The Original Justification — Justification Revision Practice
title:rewrite the original message - message revision practice,heading-4=1,1,4567,heading-4,heading,#### Rewrite The Original Message — Message Revision Practice
title:rewrite the original rationale - rationale revision practice,heading-4=1,1,4905,heading-4,heading,#### Rewrite The Original Rationale — Rationale Revision Practice
title:rewrite the original report - report revision practice,heading-4=1,1,7128,heading-4,heading,#### Rewrite The Original Report — Report Revision Practice
title:rewrite the original text - model revision practice,heading-4=1,1,4210,heading-4,heading,#### Rewrite The Original Text — Model Revision Practice
title:role-based writing task - audience-specific response,heading-4=2,2,3897,heading-4,heading,#### Role-Based Writing Task — Audience-Specific Response
title:role-based writing task - audience-specific response,heading-4=2,2,6368,heading-4,heading,#### Role-Based Writing Task — Audience-Specific Response
title:role-based writing task - audience-specific response (code) ★,heading-4=1,1,1592,heading-4,heading,#### Role-Based Writing Task — Audience-Specific Response (E3) ★
title:scenario writing - guided skill practice,heading-4=4,4,1244,heading-4,heading,#### Scenario Writing — Guided Skill Practice
title:scenario writing - guided skill practice,heading-4=4,4,1911,heading-4,heading,#### Scenario Writing — Guided Skill Practice
title:scenario writing - guided skill practice,heading-4=4,4,2218,heading-4,heading,#### Scenario Writing — Guided Skill Practice
title:scenario writing - guided skill practice,heading-4=4,4,5953,heading-4,heading,#### Scenario Writing — Guided Skill Practice
title:scenario-based free write - realistic administrative response,heading-4=12,12,290,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based free write - realistic administrative response,heading-4=12,12,609,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based free write - realistic administrative response,heading-4=12,12,940,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based free write - realistic administrative response,heading-4=12,12,2558,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based free write - realistic administrative response,heading-4=12,12,2875,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based free write - realistic administrative response,heading-4=12,12,3501,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based free write - realistic administrative response,heading-4=12,12,4263,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based free write - realistic administrative response,heading-4=12,12,4963,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
title:scenario-based risk assessment - risk and response planning,heading-4=1,1,4228,heading-4,heading,#### Scenario-Based Risk Assessment — Risk And Response Planning
title:scenario-based writing - administrative scenario response,heading-4=1,1,3147,heading-4,heading,#### Scenario-Based Writing — Administrative Scenario Response
title:self-assessment rubric - evaluate your draft,heading-4=1,1,7850,heading-4,heading,#### Self-Assessment Rubric — Evaluate Your Draft
title:self-editing checklist - final revision audit,heading-4=22,22,315,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:self-editing checklist - final revision audit,heading-4=22,22,642,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:self-editing checklist - final revision audit,heading-4=22,22,968,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:self-editing checklist - final revision audit,heading-4=22,22,1307,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:self-editing checklist - final revision audit,heading-4=22,22,1634,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:self-editing checklist - final revision audit,heading-4=22,22,1980,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:self-editing checklist - final revision audit,heading-4=22,22,2286,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:self-editing checklist - final revision audit,heading-4=22,22,2596,heading-4,heading,#### Self-Editing Checklist — Final Revision Audit
title:sentence rewriting - grouping information and showing relationships,heading-4=1,1,5846,heading-4,heading,#### Sentence Rewriting — Grouping Information And Showing Relationships
title:sentence rewriting - guided skill practice,heading-4=7,7,2482,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice
title:sentence rewriting - guided skill practice,heading-4=7,7,2776,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice
title:sentence rewriting - guided skill practice,heading-4=7,7,3102,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice
title:sentence rewriting - guided skill practice,heading-4=7,7,3403,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice
title:sentence rewriting - guided skill practice,heading-4=7,7,4150,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice
title:sentence rewriting - guided skill practice,heading-4=7,7,4516,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice
title:sentence rewriting - guided skill practice,heading-4=7,7,4855,heading-4,heading,#### Sentence Rewriting — Guided Skill Practice
"title:sentence rewriting - objective, neutral language",heading-4=1,1,5219,heading-4,heading,"#### Sentence Rewriting — Objective, Neutral Language"
title:sentence rewriting - writing clear overviews and key points,heading-4=1,1,5544,heading-4,heading,#### Sentence Rewriting — Writing Clear Overviews And Key Points
title:sequencing / ordering task - guided skill practice,heading-4=1,1,2464,heading-4,heading,#### Sequencing / Ordering Task — Guided Skill Practice
title:sequencing and prioritising requests,heading-4=1,1,2143,heading-4,heading,#### 1. Sequencing and Prioritising Requests
title:simplifying technical references,heading-4=1,1,6209,heading-4,heading,#### 1. Simplifying Technical References
title:softening strategies - guided skill practice,heading-4=1,1,459,heading-4,heading,#### 1. Softening Strategies — Guided Skill Practice
title:sorting / categorisation - classify writing choices,heading-4=2,2,721,heading-4,heading,#### Sorting / Categorisation — Classify Writing Choices
title:sorting / categorisation - classify writing choices,heading-4=2,2,5116,heading-4,heading,#### Sorting / Categorisation — Classify Writing Choices
title:source n - email from office a (n march),bold-only=1,1,5778,bold-only,bold-title,**Source 1 — Email from Office A (14 March)**
title:source n - internal report (n march),bold-only=1,1,5784,bold-only,bold-title,**Source 3 — Internal report (20 March)**
title:source n - meeting notes (n march),bold-only=1,1,5781,bold-only,bold-title,**Source 2 — Meeting Notes (17 March)**
title:stating expected benefits,heading-4=1,1,6632,heading-4,heading,#### 3. Stating Expected Benefits
title:stating required actions clearly,heading-4=1,1,6279,heading-4,heading,#### 3. Stating Required Actions Clearly
title:stating the decision clearly,heading-4=1,1,6564,heading-4,heading,#### 1. Stating the Decision Clearly
title:strengths:,bold-only=1,1,5163,bold-only,bold-title,**Strengths:**
title:structural building blocks,heading-4=1,1,1116,heading-4,heading,#### 1. Structural Building Blocks
title:structural deconstruction - document structure analysis,heading-4=2,2,3709,heading-4,heading,#### Structural Deconstruction — Document Structure Analysis
title:structural deconstruction - document structure analysis,heading-4=2,2,6945,heading-4,heading,#### Structural Deconstruction — Document Structure Analysis
title:structural deconstruction - document structure analysis (code) ★,heading-4=1,1,1103,heading-4,heading,#### Structural Deconstruction — Document Structure Analysis (B3) ★
title:structuring a complete justification,heading-4=1,1,6666,heading-4,heading,#### 4. Structuring a Complete Justification
title:structuring multi-part questions,heading-4=1,1,1488,heading-4,heading,#### 2. Structuring Multi-Part Questions
title:subordination (showing supporting or secondary ideas),heading-4=1,1,143,heading-4,heading,#### 2. Subordination (Showing Supporting Or Secondary Ideas)
title:summary,bold-only=1,1,6918,bold-only,bold-title,**Summary**
title:task - write a diplomatic error notification,heading-4=1,1,1939,heading-4,heading,#### Task — Write A Diplomatic Error Notification
title:task - write a full high-level email,heading-4=1,1,1266,heading-4,heading,#### Task — Write A Full High-Level Email
title:task - write a multi-part request message,heading-4=1,1,2245,heading-4,heading,#### Task — Write A Multi-Part Request Message
title:template-guided writing - guided template practice,heading-4=2,2,2830,heading-4,heading,#### Template-Guided Writing — Guided Template Practice
title:template-guided writing - guided template practice,heading-4=2,2,4922,heading-4,heading,#### Template-Guided Writing — Guided Template Practice
title:template-guided writing - guided template practice (code) ★,heading-4=1,1,1210,heading-4,heading,#### Template-Guided Writing — Guided Template Practice (D3) ★
title:thematic progression - guided skill practice,heading-4=1,1,855,heading-4,heading,#### 3. Thematic Progression — Guided Skill Practice
title:tone transformation - adjust register and diplomacy,heading-4=1,1,581,heading-4,heading,#### Tone Transformation — Adjust Register And Diplomacy
title:track-change simulation - revision decision practice,heading-4=4,4,5017,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice
title:track-change simulation - revision decision practice,heading-4=4,4,5389,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice
title:track-change simulation - revision decision practice,heading-4=4,4,7590,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice
title:track-change simulation - revision decision practice,heading-4=4,4,7896,heading-4,heading,#### Track-Change Simulation — Revision Decision Practice
title:two-audience version task - adapt for two audiences,heading-4=3,3,1551,heading-4,heading,#### Two-Audience Version Task — Adapt For Two Audiences
title:two-audience version task - adapt for two audiences,heading-4=3,3,3870,heading-4,heading,#### Two-Audience Version Task — Adapt For Two Audiences
title:two-audience version task - adapt for two audiences,heading-4=3,3,4585,heading-4,heading,#### Two-Audience Version Task — Adapt For Two Audiences
title:unit n - capstone: full administrative writing assessment,heading-2=1,1,7648,heading-2,heading,## Unit 23 — Capstone: Full Administrative Writing Assessment
title:unit n - change management writing,heading-2=1,1,2673,heading-2,heading,## Unit 9 — Change Management Writing
title:unit n - cohesion & logical flow,heading-2=1,1,705,heading-2,heading,## Unit 3 — Cohesion & Logical Flow
title:unit n - communicating errors diplomatically,heading-2=1,1,1708,heading-2,heading,## Unit 6 — Communicating Errors Diplomatically
title:unit n - controlling sentence complexity,heading-2=1,1,15,heading-2,heading,## Unit 1 — Controlling Sentence Complexity
title:unit n - drafting consolidated administrative reports,heading-2=1,1,6871,heading-2,heading,## Unit 21 — Drafting Consolidated Administrative Reports
title:unit n - drafting executive briefs,heading-2=1,1,5449,heading-2,heading,## Unit 17 — Drafting Executive Briefs
title:unit n - drafting policy-aligned rationales,heading-2=1,1,4735,heading-2,heading,## Unit 15 — Drafting Policy-Aligned Rationales
title:unit n - executive-level meeting summaries,heading-2=1,1,3295,heading-2,heading,## Unit 11 — Executive-Level Meeting Summaries
title:unit n - explaining complex issues,heading-2=1,1,2992,heading-2,heading,## Unit 10 — Explaining Complex Issues
title:unit n - high-level external inquiries,heading-2=1,1,3632,heading-2,heading,## Unit 12 — High-Level External Inquiries
title:unit n - integrated writing task: complex scenario response,heading-2=1,1,7335,heading-2,heading,## Unit 22 — Integrated Writing Task: Complex Scenario Response
title:unit n - layered requests: managing multi-part actions,heading-2=1,1,2069,heading-2,heading,## Unit 7 — Layered Requests: Managing Multi-Part Actions
title:unit n - structuring high-level emails,heading-2=1,1,1044,heading-2,heading,## Unit 4 — Structuring High-Level Emails
title:unit n - synthesising information from multiple sources,heading-2=1,1,5758,heading-2,heading,## Unit 18 — Synthesising Information from Multiple Sources
title:unit n - tone for agency-level communication,heading-2=1,1,381,heading-2,heading,## Unit 2 — Tone for Agency-Level Communication
title:unit n - writing balanced evaluations,heading-2=1,1,5100,heading-2,heading,## Unit 16 — Writing Balanced Evaluations
title:unit n - writing clear procedures (advanced),heading-2=1,1,2366,heading-2,heading,## Unit 8 — Writing Clear Procedures (Advanced)
title:unit n - writing complex multi-audience messages,heading-2=1,1,4392,heading-2,heading,## Unit 14 — Writing Complex Multi-Audience Messages
title:unit n - writing concise justifications for decisions,heading-2=1,1,6500,heading-2,heading,## Unit 20 — Writing Concise Justifications for Decisions
title:unit n - writing for risk & impact assessment,heading-2=1,1,4031,heading-2,heading,## Unit 13 — Writing for Risk & Impact Assessment
title:unit n - writing policy summaries for non-expert audiences,heading-2=1,1,6114,heading-2,heading,## Unit 19 — Writing Policy Summaries for Non-Expert Audiences
title:unit n - writing precise clarification requests,heading-2=1,1,1378,heading-2,heading,## Unit 5 — Writing Precise Clarification Requests
title:unit n capstone assessment rubric,heading-3=1,1,7945,heading-3,heading,### Unit 23 Capstone Assessment Rubric
title:unit overview,heading-3=23,23,17,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,383,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,707,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,1046,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,1380,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,1710,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,2071,heading-3,heading,### Unit Overview
title:unit overview,heading-3=23,23,2368,heading-3,heading,### Unit Overview
title:useful phrases,heading-4=1,1,1130,heading-4,heading,#### Useful Phrases
title:useful phrases for precise clarification,heading-4=1,1,1454,heading-4,heading,#### 1. Useful Phrases for Precise Clarification
title:where to review this skill,heading-4=1,1,7858,heading-4,heading,#### Where to review this skill
title:where to send students for review,heading-4=1,1,7965,heading-4,heading,#### Where To Send Students For Review
title:worked example:,bold-only=20,20,534,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,872,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,1154,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,1520,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,1878,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,2185,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,2501,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,2799,bold-only,bold-title,**Worked Example:**
title:write your own complex sentence - sentence-control practice,heading-4=1,1,246,heading-4,heading,#### Write Your Own Complex Sentence — Sentence-Control Practice
title:writing a concise rationale,heading-4=1,1,6598,heading-4,heading,#### 2. Writing a Concise Rationale
title:writing a summary opening,heading-4=1,1,6994,heading-4,heading,#### 1. Writing a Summary Opening
title:writing clear issue descriptions,heading-4=1,1,7027,heading-4,heading,#### 2. Writing Clear Issue Descriptions
title:writing next steps,heading-4=1,1,7092,heading-4,heading,#### 4. Writing Next Steps
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,36,numbered,numbered-list,2. *The meeting participants agreed to revise the guidelines which were noted by several offices to be inconsistent with previous instructions that require further study.*
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,38,numbered,numbered-list,"3. *Since the system update was completed last month but the manual was not updated, staff reported errors that made processing applications difficult which resulted in delays.*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,218,numbered,numbered-list,"2. *Since several offices raised concerns about the inconsistency, we will draft a revised explanation to ensure alignment.* → Rewrite using **Pattern 1** (main idea → reason)."
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,220,numbered,numbered-list,"3. *We must confirm whether the translation is final, and we must also check whether the correct version was submitted, and this is needed before the examination can proceed.* → Use **segmentation** to make the ideas clearer."
